mp-id;formula;cations;valences;CNs
mp-541532;Cr(PO3)3;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6']
mp-14535;In(PO3)3;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'In', 'In', 'In', 'In', 'In', 'In'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6']
mp-18721;Mn2P2O7;['P', 'P', 'Mn', 'Mn'];[5, 5, 2, 2];['4', '4', '6', '6']
mp-2874;In2Si2O7;['Si', 'Si', 'In', 'In'];[4, 4, 3, 3];['4', '4', '6', '6']
mp-5427;Mg2P2O7;['Mg', 'Mg', 'P', 'P'];[2, 2, 5, 5];['6', '6', '4', '4']
mp-19290;Mn2As2O7;['Mn', 'Mn', 'As', 'As'];[2, 2, 5, 5];['6', '6', '4', '4']
mp-558582;In(PO3)3;['In', 'In', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 5, 5, 5, 5, 5, 5];['6', '6', '4', '4', '4', '4', '4', '4']
mp-25154;V(PO3)3;['P', 'P', 'P', 'P', 'P', 'P', 'V', 'V'];[5, 5, 5, 5, 5, 5, 3, 3];['4', '4', '4', '4', '4', '4', '6', '6']
mp-566776;Cr(PO3)3;['Cr', 'Cr', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 5, 5, 5, 5, 5, 5];['6', '6', '4', '4', '4', '4', '4', '4']
mp-566761;Cr(PO3)3;['Cr', 'Cr', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 5, 5, 5, 5, 5, 5];['6', '6', '4', '4', '4', '4', '4', '4']
mp-16140;Na3TiP8O23;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Ti', 'Ti', 'Ti', 'Ti'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-14390;Na3GaP8O23;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Ga', 'Ga', 'Ga', 'Ga'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-24903;Na3CrP8O23;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Cr', 'Cr', 'Cr', 'Cr'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-25116;Na3VP8O23;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'V', 'V', 'V', 'V'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-13725;Li3PO4;['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'P', 'P'];[1, 1, 1, 1, 1, 1, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4']
mp-9197;Li3AsO4;['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'As', 'As'];[1, 1, 1, 1, 1, 1, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4']
mp-2542;BeO;['Be', 'Be'];[2, 2];['4', '4']
mp-8070;Li2BeSiO4;['Li', 'Li', 'Li', 'Li', 'Be', 'Be', 'Si', 'Si'];[1, 1, 1, 1, 2, 2, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4']
mp-19361;Cr2(SO4)3;['S', 'S', 'S', 'S', 'S', 'S', 'Cr', 'Cr', 'Cr', 'Cr'];[6, 6, 6, 6, 6, 6, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-541451;Ga2(SO4)3;['Ga', 'Ga', 'Ga', 'Ga', 'S', 'S', 'S', 'S', 'S', 'S'];[3, 3, 3, 3, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4']
mp-541450;In2(SO4)3;['In', 'In', 'In', 'In', 'S', 'S', 'S', 'S', 'S', 'S'];[3, 3, 3, 3, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4']
mp-1265;MgO;['Mg'];[2];['6']
mp-27345;Na3BiO4;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Bi', 'Bi'];[1, 1, 1, 1, 1, 1, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6']
mp-7404;Na3SbO4;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Sb', 'Sb'];[1, 1, 1, 1, 1, 1, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6']
mp-561637;VO2;['V', 'V', 'V', 'V'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-554278;TiO2;['Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-7601;NbGaO4;['Ga', 'Ga', 'Nb', 'Nb'];[3, 3, 5, 5];['6', '6', '6', '6']
mp-7648;SiO2;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-555891;SiO2;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-5724;AlPO4;['Al', 'Al', 'P', 'P'];[3, 3, 5, 5];['4', '4', '4', '4']
mp-559691;Ca2Al2SiO7;['Ca', 'Ca', 'Ca', 'Ca', 'Al', 'Al', 'Al', 'Al', 'Si', 'Si'];[2, 2, 2, 2, 3, 3, 3, 3, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-6655;Y2Be2SiO7;['Be', 'Be', 'Be', 'Be', 'Si', 'Si', 'Y', 'Y', 'Y', 'Y'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-6208;Ca2BeSi2O7;['Be', 'Be', 'Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-3347;Be2SiO4;['Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
