mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-4991;Tb2Sn2O7;mp-9765;['Sn', 'Sn', 'Sn', 'Sn', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-17114;Nd2Sn2O7;mp-9765;['Sn', 'Sn', 'Sn', 'Sn', 'Nd', 'Nd', 'Nd', 'Nd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-5977;Nd2Zr2O7;mp-9765;['Zr', 'Zr', 'Zr', 'Zr', 'Nd', 'Nd', 'Nd', 'Nd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-18831;Y2Mn2O7;mp-9765;['Mn', 'Mn', 'Mn', 'Mn', 'Y', 'Y', 'Y', 'Y'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-641683;Eu2Ir2O7;mp-9765;['Eu', 'Eu', 'Eu', 'Eu', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];[1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-559426;Pr2Zr2O7;mp-9765;['Pr', 'Pr', 'Pr', 'Pr', 'Zr', 'Zr', 'Zr', 'Zr'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];[2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5]
mp-15161;Tb2Ru2O7;mp-9765;['Ru', 'Ru', 'Ru', 'Ru', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-642787;Y2V2O7;mp-9765;['Y', 'Y', 'Y', 'Y', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];[2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 2.083333333333333, 2.083333333333333]
mp-18797;Yb2V2O7;mp-9765;['V', 'V', 'V', 'V', 'Yb', 'Yb', 'Yb', 'Yb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-13801;Tl2Pt2O7;mp-9765;['Pt', 'Pt', 'Pt', 'Pt', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
