mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-5323;CeAlO3;mp-2920;['Al', 'Ce'];[3, 3];['6', '12'];{'Al': {3: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-23482;BaBiO3;mp-2920;['Ba', 'Ba', 'Bi', 'Bi'];[2, 2, 5, 3];['12', '12', '6', '6'];{'Bi': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}, 3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6135;Ba2PrIrO6;mp-2920;['Ba', 'Ba', 'Pr', 'Ir'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Pr': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ir': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-10335;Ba2CuTeO6;mp-2920;['Cu', 'Te', 'Ba', 'Ba'];[2, 6, 2, 2];['6', '6', '12', '12'];{'Cu': {2: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}, 'Te': {6: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-12385;Ba2YTaO6;mp-2920;['Y', 'Ba', 'Ba', 'Ta'];[3, 2, 2, 5];['6', '12', '12', '6'];{'Y': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ta': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-9319;Ba2PrPtO6;mp-2920;['Ba', 'Ba', 'Pr', 'Pt'];[2, 2, 4, 4];['12', '12', '6', '6'];{'Pr': {4: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Pt': {4: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-20958;Ba2LaReO6;mp-2920;['Ba', 'Ba', 'La', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];{'La': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-18805;Sr2CoMoO6;mp-2920;['Co', 'Sr', 'Sr', 'Mo'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Co': {2: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-19996;Ba2GdNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Gd'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Gd': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-22279;Ba2EuNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Eu'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Eu': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6798;Ba2NaReO6;mp-2920;['Na', 'Ba', 'Ba', 'Re'];[1, 2, 2, 7];['6', '12', '12', '6'];{'Na': {1: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {7: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-19751;Ba2YbNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Yb'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Yb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-13323;Ba2EuNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Eu'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Eu': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-12866;SrSnO3;mp-2920;['Sr', 'Sr', 'Sn', 'Sn'];[2, 2, 4, 4];['12', '12', '6', '6'];{'Sn': {4: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-14292;Ba2NdSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Nd'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Sb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Nd': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-13929;Ba2SmReO6;mp-2920;['Ba', 'Ba', 'Sm', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Sm': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-545603;Ba2BiSbO6;mp-2920;['Ba', 'Bi', 'Ba', 'Sb'];[2, 3, 2, 5];['12', '6', '12', '6'];{'Bi': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Sb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-4900;BaCeO3;mp-2920;['Ba', 'Ba', 'Ce', 'Ce'];[2, 2, 4, 4];['12', '12', '6', '6'];{'Ce': {4: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-9890;TaAgO3;mp-2920;['Ag', 'Ag', 'Ta', 'Ta'];[1, 1, 5, 5];['12', '12', '6', '6'];{'Ta': {5: {'no': 52, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-552176;Ba2PrNbO6;mp-2920;['Ba', 'Ba', 'Pr', 'Nb'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Pr': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-558206;K9U6BiO24;mp-2920;['K', 'K', 'K', 'K', 'K', 'K', 'K', 'K', 'K', 'U', 'U', 'U', 'U', 'U', 'U', 'Bi'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 3];['6', '12', '12', '12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6', '6'];{'K': {1: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'U': {6: {'no': 120, 'corner': 36, 'edge': 0, 'face': 0}}, 'Bi': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-18908;Sr2NiTeO6;mp-2920;['Ni', 'Sr', 'Sr', 'Te'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Ni': {2: {'no': 22, 'corner': 6, 'edge': 0, 'face': 0}}, 'Te': {6: {'no': 22, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-13941;Sr2YbReO6;mp-2920;['Sr', 'Sr', 'Yb', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Yb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-3442;CaTiO3;mp-2920;['Ca', 'Ca', 'Ti', 'Ti'];[2, 2, 4, 4];['12', '12', '6', '6'];{'Ti': {4: {'no': 52, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-6231;Ba2ErSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Er'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Sb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Er': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-19322;BaMoO3;mp-2920;['Mo', 'Ba'];[4, 2];['6', '12'];{'Mo': {4: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-7006;SrNbO3;mp-2920;['Sr', 'Nb'];[2, 4];['12', '6'];{'Nb': {4: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-10584;Ba2LiOsO6;mp-2920;['Li', 'Ba', 'Ba', 'Os'];[1, 2, 2, 7];['6', '12', '12', '6'];{'Li': {1: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Os': {7: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-557296;Sr2MnSbO6;mp-2920;['Sb', 'Sr', 'Mn', 'Sr'];[5, 2, 3, 2];['6', '12', '6', '12'];{'Sb': {5: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}, 'Mn': {3: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-13055;Ba2LaTaO6;mp-2920;['Ba', 'Ba', 'La', 'Ta'];[2, 2, 3, 5];['12', '12', '6', '6'];{'La': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ta': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-20991;BaPbO3;mp-2920;['Ba', 'Ba', 'Pb', 'Pb'];[2, 2, 4, 4];['12', '12', '6', '6'];{'Pb': {4: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-24843;Ba2CoWO6;mp-2920;['Ba', 'Ba', 'Co', 'W'];[2, 2, 2, 6];['12', '12', '6', '6'];{'Co': {2: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'W': {6: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-557713;Ba2LaTaO6;mp-2920;['Ba', 'Ba', 'Ba', 'Ba', 'La', 'La', 'Ta', 'Ta'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6'];{'La': {3: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ta': {5: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-12410;Ba2TbIrO6;mp-2920;['Ba', 'Ba', 'Tb', 'Ir'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Tb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ir': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-5304;LaAlO3;mp-2920;['Al', 'La'];[3, 3];['6', '12'];{'Al': {3: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6609;Ba2HoRuO6;mp-2920;['Ru', 'Ba', 'Ba', 'Ho'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Ru': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ho': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-20841;Ba2CaIrO6;mp-2920;['Ca', 'Ba', 'Ba', 'Ir'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Ca': {2: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ir': {6: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-19266;Sr2FeWO6;mp-2920;['Fe', 'Fe', 'Sr', 'Sr', 'Sr', 'Sr', 'W', 'W'];[2, 2, 2, 2, 2, 2, 6, 6];['6', '6', '12', '12', '12', '12', '6', '6'];{'Fe': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'W': {6: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-6492;Ba2YSbO6;mp-2920;['Y', 'Sb', 'Ba', 'Ba'];[3, 5, 2, 2];['6', '6', '12', '12'];{'Y': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Sb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-12417;Ba2CaReO6;mp-2920;['Ca', 'Ba', 'Ba', 'Re'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Ca': {2: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {6: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6265;Ba2TbSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Tb'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Sb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Tb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
