mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-637224;Pu2O3;mp-542313;['Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '6', '4', '4', '4', '4', '6', '6', '6'];{'Pu': {3: {'no': 672, 'corner': 144, 'edge': 0, 'face': 0}}}
mp-542877;Mn2O3;mp-542313;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Mn': {3: {'no': 1104, 'corner': 144, 'edge': 0, 'face': 0}}}
mp-7000;SiO2;mp-7000;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4'];{'Si': {4: {'no': 168, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-223;GeO2;mp-7000;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4'];{'Ge': {4: {'no': 156, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-733;GeO2;mp-7000;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4'];{'Ge': {4: {'no': 156, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-556961;SiO2;mp-556961;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4'];{'Si': {4: {'no': 296, 'corner': 32, 'edge': 0, 'face': 0}}}
mp-7812;GeO2;mp-556961;['Ge', 'Ge', 'Ge', 'Ge'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Ge': {4: {'no': 152, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-6945;SiO2;mp-556961;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Si': {4: {'no': 152, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-559091;SiO2;mp-559091;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Si': {4: {'no': 160, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-7087;SiO2;mp-559091;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Si': {4: {'no': 136, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-2858;ZrO2;mp-2858;['Zr', 'Zr', 'Zr', 'Zr'];[4, 4, 4, 4];['7', '7', '7', '7'];{'Zr': {4: {'no': 188, 'corner': 16, 'edge': 28, 'face': 0}}}
mp-352;HfO2;mp-2858;['Hf', 'Hf', 'Hf', 'Hf'];[4, 4, 4, 4];['7', '7', '7', '7'];{'Hf': {4: {'no': 192, 'corner': 16, 'edge': 28, 'face': 0}}}
mp-886;Ga2O3;mp-886;['Ga', 'Ga', 'Ga', 'Ga'];[3, 3, 3, 3];['6', '6', '4', '4'];{'Ga': {3: {'no': 268, 'corner': 32, 'edge': 8, 'face': 0}}}
mp-7048;Al2O3;mp-886;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['4', '4', '6', '6'];{'Al': {3: {'no': 326, 'corner': 32, 'edge': 8, 'face': 0}}}
mp-2097;SnO;mp-2097;['Sn', 'Sn'];[2, 2];['4', '4'];{'Sn': {2: {'no': 100, 'corner': 8, 'edge': 8, 'face': 0}}}
mp-19921;PbO;mp-2097;['Pb', 'Pb'];[2, 2];['4', '4'];{'Pb': {2: {'no': 84, 'corner': 8, 'edge': 8, 'face': 0}}}
mp-1999;Sb2O3;mp-1999;['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'];[3, 3, 3, 3, 3, 3, 3, 3];['3', '3', '3', '3', '3', '3', '3', '3'];{'Sb': {3: {'no': 312, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-2184;As2O3;mp-1999;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[3, 3, 3, 3, 3, 3, 3, 3];['3', '3', '3', '3', '3', '3', '3', '3'];{'As': {3: {'no': 312, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-557881;SiO2;mp-557881;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Si': {4: {'no': 380, 'corner': 48, 'edge': 0, 'face': 0}}}
