mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-6389;NaLa2RuO6;mp-6457;['Na', 'Na', 'Ru', 'Ru', 'La', 'La', 'La', 'La'];[1, 1, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Na': {1: {'no': 88, 'corner': 16, 'edge': 4, 'face': 8}}, 'Ru': {5: {'no': 88, 'corner': 16, 'edge': 4, 'face': 8}}, 'La': {3: {'no': 152, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-19269;NdCrO3;mp-6457;['Cr', 'Cr', 'Cr', 'Cr', 'Nd', 'Nd', 'Nd', 'Nd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12'];{'Cr': {3: {'no': 200, 'corner': 24, 'edge': 0, 'face': 32}}, 'Nd': {3: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}}
mp-22329;NaNd2OsO6;mp-6457;['Na', 'Na', 'Nd', 'Nd', 'Nd', 'Nd', 'Os', 'Os'];[1, 1, 3, 3, 3, 3, 5, 5];['6', '6', '9', '9', '9', '9', '6', '6'];{'Na': {1: {'no': 88, 'corner': 16, 'edge': 4, 'face': 8}}, 'Nd': {3: {'no': 152, 'corner': 40, 'edge': 16, 'face': 24}}, 'Os': {5: {'no': 88, 'corner': 16, 'edge': 4, 'face': 8}}}
mp-24961;LuFeO3;mp-6457;['Fe', 'Fe', 'Fe', 'Fe', 'Lu', 'Lu', 'Lu', 'Lu'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Fe': {3: {'no': 208, 'corner': 32, 'edge': 8, 'face': 16}}, 'Lu': {3: {'no': 192, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-24881;TbCoO3;mp-6457;['Co', 'Co', 'Co', 'Co', 'Tb', 'Tb', 'Tb', 'Tb'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Co': {3: {'no': 224, 'corner': 32, 'edge': 8, 'face': 16}}, 'Tb': {3: {'no': 208, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-3626;SrZrO3;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Zr', 'Zr', 'Zr', 'Zr'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Zr': {4: {'no': 176, 'corner': 24, 'edge': 0, 'face': 32}}}
mp-555510;Sr2YbRuO6;mp-6457;['Yb', 'Yb', 'Sr', 'Sr', 'Sr', 'Sr', 'Ru', 'Ru'];[3, 3, 2, 2, 2, 2, 5, 5];['6', '6', '12', '12', '12', '12', '6', '6'];{'Yb': {3: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Ru': {5: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-24953;DyFeO3;mp-6457;['Fe', 'Fe', 'Fe', 'Fe', 'Dy', 'Dy', 'Dy', 'Dy'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Fe': {3: {'no': 200, 'corner': 32, 'edge': 8, 'face': 16}}, 'Dy': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-980108;Sm2MgIrO6;mp-6457;['Sm', 'Sm', 'Sm', 'Sm', 'Mg', 'Mg', 'Ir', 'Ir'];[3, 3, 3, 3, 2, 2, 4, 4];['9', '9', '9', '9', '6', '6', '6', '6'];{'Sm': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}, 'Mg': {2: {'no': 100, 'corner': 16, 'edge': 4, 'face': 8}}, 'Ir': {4: {'no': 100, 'corner': 16, 'edge': 4, 'face': 8}}}
mp-24849;PrCoO3;mp-6457;['Co', 'Co', 'Co', 'Co', 'Pr', 'Pr', 'Pr', 'Pr'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12'];{'Co': {3: {'no': 200, 'corner': 24, 'edge': 0, 'face': 32}}, 'Pr': {3: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}}
