mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-19266;Sr2FeWO6;mp-2920;['Fe', 'Fe', 'Sr', 'Sr', 'Sr', 'Sr', 'W', 'W'];[2, 2, 2, 2, 2, 2, 6, 6];['6', '6', '12', '12', '12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6492;Ba2YSbO6;mp-2920;['Y', 'Sb', 'Ba', 'Ba'];[3, 5, 2, 2];['6', '6', '12', '12'];[2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004]
mp-12417;Ba2CaReO6;mp-2920;['Ca', 'Ba', 'Ba', 'Re'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6265;Ba2TbSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Tb'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-22442;Ba2NaOsO6;mp-2920;['Na', 'Ba', 'Ba', 'Os'];[1, 2, 2, 7];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-12525;Sr2LiReO6;mp-2920;['Li', 'Sr', 'Sr', 'Re'];[1, 2, 2, 7];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-18764;Ba2SrWO6;mp-2920;['Sr', 'Ba', 'Ba', 'W'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-22230;BaPbO3;mp-2920;['Ba', 'Ba', 'Pb', 'Pb'];[2, 2, 4, 4];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-3020;BaNbO3;mp-2920;['Nb', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-6653;Ba2ErNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Er'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6192;Ba2DySbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Dy'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-552191;Ba2TbBiO6;mp-2920;['Ba', 'Tb', 'Ba', 'Bi'];[2, 3, 2, 5];['12', '6', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-545436;Ba2YbBiO6;mp-2920;['Bi', 'Ba', 'Ba', 'Yb'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-7143;BaPuO3;mp-2920;['Ba', 'Pu'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
