mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-19337;Ba3CoSb2O9;mp-555078;['Co', 'Co', 'Sb', 'Sb', 'Sb', 'Sb', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Co': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Sb': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-540795;Ba3SrTa2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Sr', 'Sr', 'Ta', 'Ta', 'Ta', 'Ta'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Sr': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ta': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-17448;Ba3CaIr2O9;mp-555078;['Ca', 'Ca', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ir', 'Ir', 'Ir', 'Ir'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['6', '6', '12', '12', '12', '12', '12', '12', '6', '6', '6', '6'];{'Ca': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ir': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-540794;Ba3SrNb2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Sr', 'Sr', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Sr': {2: {'no': 36, 'corner': 12, 'edge': 0, 'face': 0}}, 'Nb': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-6443;Ba3CaRu2O9;mp-555078;['Ca', 'Ca', 'Ru', 'Ru', 'Ru', 'Ru', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Ca': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-14415;Pr2Be2GeO7;mp-14415;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'Pr', 'Pr', 'Pr', 'Pr'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Be': {2: {'no': 260, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ge': {4: {'no': 132, 'corner': 24, 'edge': 0, 'face': 0}}, 'Pr': {3: {'no': 244, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-559691;Ca2Al2SiO7;mp-14415;['Ca', 'Ca', 'Ca', 'Ca', 'Al', 'Al', 'Al', 'Al', 'Si', 'Si'];[2, 2, 2, 2, 3, 3, 3, 3, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4'];{'Ca': {2: {'no': 208, 'corner': 28, 'edge': 28, 'face': 4}}, 'Al': {3: {'no': 240, 'corner': 24, 'edge': 12, 'face': 0}}, 'Si': {4: {'no': 116, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-6208;Ca2BeSi2O7;mp-14415;['Be', 'Be', 'Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Be': {2: {'no': 124, 'corner': 24, 'edge': 0, 'face': 0}}, 'Si': {4: {'no': 248, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ca': {2: {'no': 224, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-7013;Ho2Be2SiO7;mp-14415;['Be', 'Be', 'Be', 'Be', 'Si', 'Si', 'Ho', 'Ho', 'Ho', 'Ho'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Be': {2: {'no': 284, 'corner': 24, 'edge': 12, 'face': 0}}, 'Si': {4: {'no': 140, 'corner': 24, 'edge': 0, 'face': 0}}, 'Ho': {3: {'no': 260, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-19926;La2Be2GeO7;mp-14415;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'La', 'La', 'La', 'La'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Be': {2: {'no': 244, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ge': {4: {'no': 116, 'corner': 24, 'edge': 0, 'face': 0}}, 'La': {3: {'no': 216, 'corner': 28, 'edge': 28, 'face': 4}}}
