mp-id;formula;cations;valences;CNs;Connections of Cations with Valences
mp-5373;Y2Ti2O7;['Ti', 'Ti', 'Ti', 'Ti', 'Y', 'Y', 'Y', 'Y'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-3688;Er2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Er', 'Er', 'Er', 'Er'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Er': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-558131;Sm2Tc2O7;['Sm', 'Sm', 'Sm', 'Sm', 'Tc', 'Tc', 'Tc', 'Tc'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Tc': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-19930;Nd2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Nd', 'Nd', 'Nd', 'Nd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Nd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19036;Tm2V2O7;['V', 'V', 'V', 'V', 'Tm', 'Tm', 'Tm', 'Tm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tm': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-5302;Gd2Ti2O7;['Ti', 'Ti', 'Ti', 'Ti', 'Gd', 'Gd', 'Gd', 'Gd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-5472;Nb2Cd2O7;['Nb', 'Nb', 'Nb', 'Nb', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];{'Nb': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19256;Er2Mn2O7;['Mn', 'Mn', 'Mn', 'Mn', 'Er', 'Er', 'Er', 'Er'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Er': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-23372;Sn2Bi2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Bi', 'Bi', 'Bi', 'Bi'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Bi': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-18784;DyVO4;['V', 'V', 'Dy', 'Dy'];[5, 5, 3, 3];['4', '4', '8', '8'];{'V': {5: {'no': 76, 'corner': 8, 'edge': 4, 'face': 0}}, 'Dy': {3: {'no': 68, 'corner': 8, 'edge': 12, 'face': 0}}}
mp-19240;ErCrO4;['Cr', 'Cr', 'Er', 'Er'];[5, 5, 3, 3];['4', '4', '8', '8'];{'Cr': {5: {'no': 76, 'corner': 8, 'edge': 4, 'face': 0}}, 'Er': {3: {'no': 68, 'corner': 8, 'edge': 12, 'face': 0}}}
mp-18863;PrCrO4;['Cr', 'Cr', 'Pr', 'Pr'];[5, 5, 3, 3];['4', '4', '8', '8'];{'Cr': {5: {'no': 60, 'corner': 8, 'edge': 4, 'face': 0}}, 'Pr': {3: {'no': 52, 'corner': 8, 'edge': 12, 'face': 0}}}
