mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-558448;Pr2Ir2O7;mp-17113;['Pr', 'Pr', 'Pr', 'Pr', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Pr': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ir': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-22259;Yb2Ru2O7;mp-17113;['Ru', 'Ru', 'Ru', 'Ru', 'Yb', 'Yb', 'Yb', 'Yb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Yb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-17064;Gd2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Gd', 'Gd', 'Gd', 'Gd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-12533;La2Hf2O7;mp-17113;['La', 'La', 'La', 'La', 'Hf', 'Hf', 'Hf', 'Hf'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'La': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Hf': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-3335;Sm2Ti2O7;mp-17113;['Ti', 'Ti', 'Ti', 'Ti', 'Sm', 'Sm', 'Sm', 'Sm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-5472;Nb2Cd2O7;mp-17113;['Nb', 'Nb', 'Nb', 'Nb', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];{'Nb': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-5548;Ta2Cd2O7;mp-17113;['Cd', 'Cd', 'Cd', 'Cd', 'Ta', 'Ta', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ta': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-5302;Gd2Ti2O7;mp-17113;['Ti', 'Ti', 'Ti', 'Ti', 'Gd', 'Gd', 'Gd', 'Gd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-9765;Nd2Pt2O7;mp-17113;['Nd', 'Nd', 'Nd', 'Nd', 'Pt', 'Pt', 'Pt', 'Pt'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Nd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Pt': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-566186;Sm2Mo2O7;mp-17113;['Sm', 'Sm', 'Sm', 'Sm', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
